SN,ATS6m,F09[N-O],CATS2D_05_AA,SM14_AEA(dm),CATS2D_03_NL,RDF140v,CATS2D_07_AA,J_Dz(p),pIC50
D3_06,3.746,2,0,4.187,0,0.0694,0,1.645,5.42
D3_26,3.689,2,0,6.502,2,0.5925,0,1.674,5.921
D5_24,4.1,0,4,6.932,2,0,0,1.661,4.824
D3_25,3.749,2,0,6.496,2,3.399,0,1.208,4.921
D5_14,3.998,0,4,6.483,0,0,0,1.753,5.699
D5_23,4.055,0,0,7.318,2,0.0086,4,1.596,4.921
D2_26,3.243,0,0,5.033,2,0.7403,0,1.683,5.377
D1_18,3.938,0,0,6.552,0,0.6876,0,1.497,7.658
D2_17,3.178,1,0,5.029,0,0.1838,0,1.711,6.041
D2_16,3.36,0,0,5.05,2,0.712,0,1.739,6.167
D2_06,3.482,0,0,5.05,1,0.1751,0,1.743,6.77
D2_34,3.231,0,0,5.204,2,0.3664,0,1.505,4.733
D1_06,3.68,0,0,6.351,0,0.5538,0,1.695,7.796
D5_25,3.716,0,4,4.493,0,0,0,1.822,4.77
D4_25,4.043,0,0,7.506,0,1.291,0,1.172,7.658
D4_12,4.273,0,0,7.604,0,4.943,0,1.053,8.301
D3_22,3.592,2,0,6.494,2,0.6584,0,1.608,5.143
D1_13,3.83,0,0,6.347,0,1.264,0,1.644,7.42
D1_15,3.909,0,0,6.351,0,2.529,0,1.311,7.387
D1_25,3.925,0,0,6.552,0,0.2364,0,1.629,7.886
D5_26,3.899,0,4,5.153,0,0,0,1.817,4.77
D3_10,3.729,2,0,6.639,0,0.6806,0,1.574,6.244
D1_09,3.968,0,0,8.101,0,2.605,0,1.361,8.367
D5_13,3.908,0,4,5.092,0,0,0,1.852,6.292
D2_28,3.452,0,1,6.738,2,0.00513,0,1.726,5.298
D2_02,3.923,0,0,6.765,0,2.663,0,1.588,8.051
D3_21,3.638,2,0,6.499,2,0.1087,0,1.67,5.796
D4_46,4.067,0,0,7.342,0,2.417,1,1.153,6.496
D3_37,3.553,2,0,6.823,1,0,0,1.338,5.26
D2_18,3.311,0,0,5.034,0,2.197,0,1.612,5.951
D2_32,3.576,2,0,5.492,0,2.944,0,1.77,4.896
D5_03,3.78,0,0,5.16,1,0,1,1.717,6.921
D1_23,3.899,0,0,6.352,0,2.252,1,1.362,6.955
D5_02,3.757,0,0,5.155,1,0,0,1.648,6.921
D5_27,3.651,0,4,5.094,0,0,1,1.67,4.745
D4_15,4.137,0,0,7.601,0,1.874,0,1.24,8.222
D3_02,3.813,0,0,6.511,0,0,0,1.728,7.398
D4_28,4.111,0,0,7.513,0,1.077,1,1.146,7.538
D4_35,3.913,0,0,7.186,0,2.937,1,1.157,7.086
D4_33,4.026,0,0,7.342,0,0.02567,1,1.148,7.319
D2_20,3.368,0,0,5.048,0,2.007,0,1.777,5.921
D2_10,3.454,0,0,6.169,0,0.9561,0,1.658,6.409
D3_04,3.574,2,0,3.938,0,0.3268,0,1.62,5.071
D2_25,3.145,0,0,5.024,0,0.1146,0,1.699,5.456
D5_06,3.918,0,4,5.092,0,0,0,1.801,6.658
D1_17,3.965,1,0,6.351,0,2.978,0,1.291,6.757
D1_20,3.898,0,0,6.349,0,2.683,0,1.578,7.921
D4_34,4.04,0,0,7.342,0,0.1881,1,1.155,7.26
D4_09,4.336,0,0,7.56,0,4.031,0,1.211,8.523
D3_07,3.931,2,0,4.187,0,0.3577,0,1.648,5.398
D3_15,3.937,2,0,6.657,0,0.5174,0,1.639,7.523
D5_10,3.806,0,1,5.16,1,0,0,1.636,6.509
D1_11,3.886,0,0,6.351,0,0.4742,0,1.641,8.155
D3_23,3.652,2,0,6.505,2,0.02576,0,1.476,4.854
D1_12,3.849,0,0,6.35,0,0.8033,0,1.665,7.347
D4_26,4.061,0,0,7.201,0,0,1,1.151,7.553
D3_27,3.828,2,0,6.523,2,1.384,0,1.677,6.481
D5_11,3.728,0,0,5.155,1,0,0,1.692,6.509
D4_18,4.205,0,0,7.516,0,3.73,0,1.191,8.222
D1_10,3.89,0,0,6.756,0,1.336,0,1.182,7.31
D4_08,4.233,1,0,7.602,0,4.405,0,1.195,8.523
D2_07,3.395,0,0,6.169,0,2.165,0,1.457,6.658
D2_04,3.492,1,0,5.079,0,0.4206,0,1.791,6.863
D2_14,3.422,0,0,6.169,0,3.827,0,1.665,6.187
D2_31,3.391,0,0,3.799,2,0,0,1.68,4.979
D5_28,3.648,0,1,4.577,1,0,0,1.647,4.699
D3_30,3.57,2,0,6.364,1,0,0,1.651,5.097
D3_39,3.698,0,0,7.334,2,0.9562,0,1.436,6
D4_41,3.908,0,0,7.25,0,2.569,0,1.165,6.804
D3_13,3.676,2,0,5.694,0,1.813,0,1.626,5.77
D2_35,3.453,2,0,5.053,0,1.533,0,1.491,4.721
D4_20,4.364,0,0,7.609,0,6.279,0,1.059,8.097
D2_19,3.24,1,0,5.033,0,0.0789,0,1.694,5.921
D5_07,3.854,0,0,5.155,1,0,0,1.696,6.638
D5_09,3.751,0,0,5.111,1,0,0,1.661,6.509
D2_11,3.202,0,0,5.029,0,1.724,0,1.631,6.367
D4_43,3.987,0,0,7.278,0,0.7622,1,1.161,6.706
D5_12,3.96,0,0,5.204,1,0,0,1.646,6.387
D4_14,4.267,0,0,7.631,0,5.555,0,1.147,8.301
D4_36,4.022,0,0,7.334,0,5.062,1,1.166,7.06
D2_27,3.359,1,0,5.089,0,1.595,0,1.663,5.337
D4_37,4.202,0,0,7.342,0,2.964,1,1.178,7
D2_37,3.304,0,0,5.039,2,0.3642,0,1.691,4.693
D2_23,3.301,1,0,5.034,0,1.989,0,1.671,5.721
D2_05,3.237,0,0,5.033,0,1.574,0,1.705,6.804
D5_20,3.632,0,4,5.081,0,0,0,1.695,5.046
D1_14,3.877,0,0,6.351,0,0.5865,0,1.316,7.027
D3_34,3.691,0,0,6.378,2,0,0,1.767,6.398
D3_35,3.676,2,0,6.816,0,0,0,1.578,7.155
D2_30,3.491,0,0,4.749,2,0,0,1.445,5
D3_14,3.814,2,0,6.649,0,0.1113,0,1.633,6.921
D4_39,3.953,0,0,7.278,0,1.374,1,1.146,6.848
D3_19,3.851,2,0,6.653,0,0.3363,0,1.649,6.77
D3_38,3.617,0,0,7.335,2,0.8827,0,1.416,6.77
D4_24,4.279,1,0,7.602,0,3.263,0,1.192,7.745
D5_17,3.646,0,1,4.577,1,0,0,1.646,5.398
D4_17,4.306,0,0,7.549,0,3.713,0,1.239,8.222
D3_24,3.531,2,0,5.694,2,0.8622,0,1.682,5.824
D1_02,3.919,0,0,6.411,0,0.176,0,1.741,8.215
D4_13,4.303,0,0,7.549,0,2.285,0,1.207,8.301
D4_51,4.313,2,0,7.609,0,3.635,0,1.197,5.735
D4_16,4.229,0,0,7.51,0,2.78,0,1.215,8.222
D1_19,3.865,0,0,6.348,0,0.5583,0,1.603,7.509
D5_29,3.764,0,4,4.928,0,0,0,1.784,4.481
D2_29,3.366,0,0,4.756,2,0.9496,0,1.401,5.092
D5_22,3.694,0,4,5.077,0,0,1,1.789,5
D2_03,3.272,0,0,5.029,0,1.058,0,1.727,6.921
D4_27,4.091,0,0,7.595,0,0.3416,0,1.249,7.538
D2_24,3.196,0,0,5.029,0,0.05968,0,1.678,5.688
D3_33,3.633,2,0,6.499,2,0.06442,0,1.715,6.921
D1_21,3.871,0,0,6.351,0,0.9918,1,1.716,6.77
D2_12,3.189,0,0,5.029,0,0.3009,0,1.7,6.292
D3_18,3.677,2,0,6.604,0,0.00262,0,1.596,6.602
